"Console","GameName","Review","Score"
"NS","Liberated Review","Fair","4"
"PC","Resolutiion Review - Do The Right Thing","Very Good","6"
"PC","Those Who Remain Review - Little Staying Power","Bad","3"
"PC","Sea Of Thieves Review (2020) - A Voyage Finally Worth Taking","Super","8"
"NS","Xenoblade Chronicles: Definitive Edition Review","Excellent","9"
"XONE","Minecraft Dungeons Review - Mobsters, Inc.","Great","7"
"PS4","Maneater Review - Fish Are Food, Not Friends","Great","7"
"PS4","Mortal Kombat 11: Aftermath Review - Friendship Never Ends","Great","7"
"PC","If Found Review - Call Me By My Name","Excellent","9"
"NS","What The Golf Switch Review - A Swing And A Hit","Excellent","9"
"PC, IOS","What The Golf Review","Super","8"
"NS","The Wonderful 101 Remastered Review - Mob Mentality","Fair","4"
"WIIU","The Wonderful 101 Review","Super","8"
"NS","Hatsune Miku: Project DIVA MegaMix Review - One More Time","Super","8"
"PC","Rainbow Six Siege Review (2020) - Breaches And Cream","Worst","1"
"PC","Legends Of Runeterra Review - Much Ado About Nautilus","Excellent","9"
"PS4","Predator: Hunting Grounds Review - Muddied Up","Fair","4"
"PS4","Sakura Wars Review","Great","7"
"PC","XCOM: Chimera Squad Review","Super","8"
"PC","Cloudpunk Review - Time To Fly","Great","7"
"PS4","Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town","Super","8"
"XONE, PC, PS4","Rainbow Six Siege Review (2015)","Super","8"
"PC","Gears Tactics Review - Plan The Work, Work The Plan","Super","8"
"PC","Fallout 76: Wastelanders Review - A Disappointing Return","Good","5"
"NS","Trials Of Mana Review - Trial And Error","Very Good","6"
"NS","Treachery In Beatdown City Review","Super","8"
"PC","In Other Waters Review","Excellent","9"
"XONE","Bleeding Edge Review - Underwatch","Very Good","6"
"PS4","Final Fantasy 7 Remake Review - First Class","Worst","1"
"NS","Animal Crossing: New Horizons Review - Island Getaway","Excellent","9"
"PS4","Persona 5 Royal Review - Hearts Of Gold","Worst","1"
"PS4","Resident Evil 3 Remake Review - Farewell, Raccoon City","Very Good","6"
"NS","Good Job Review - Office Space","Great","7"
"PC","Corruption 2029 Review","Very Good","6"
"PS4","MLB The Show 20 Review","Super","8"
"PC, PS4, XONE","Call Of Duty Warzone Review","Great","7"
"PC","Half-Life: Alyx Review - Catch These Hands","Excellent","9"
"PC, NS, XONE, PS4","Doom Eternal Review - Intelligent Inferno","Super","8"
"PS4","Nioh 2 Review","Super","8"
"XONE","Ori And The Will Of The Wisps Review","Super","8"
"PC","Mindseize Review - Familiar Territory","Very Good","6"
"LNX, MAC, AND, PC","Dota Underlords Review","Excellent","9"
"NS","Pokemon Mystery Dungeon: Rescue Team DX Review","Super","8"
"PC","Wolcen: Lords Of Mayhem Review","Fair","4"
"PS4","Bloodroots Review","Super","8"
"NS","Snack World Review","Fair","4"
"PS4","Dreams Review","Excellent","9"
"PS4","Granblue Fantasy Versus Review - Fighting Fantasy","Great","7"
"PC","The Pedestrian Review - Walk Before You Run","Great","7"
"PC","Through The Darkest Of Times Review - Enemy Inside The Gates","Super","8"
"NS","Kunai Review - Throwing Knives","Great","7"
"NS","Kentucky Route Zero Review - Where The Streets Have No Name","Excellent","9"
"PS4","Kingdom Hearts 3 Re:Mind Review - Don't Remind Me","Fair","4"
"PC","Lenna's Inception Review - Press Start","Great","7"
"PC, PS4","Journey To The Savage Planet Review - A Pulpy Sci-Fi Romp","Great","7"
"PC","Frostpunk: The Last Autumn Review - Calm Before The Storm","Super","8"
"XONE, PS4","Dragon Ball Z: Kakarot Review - Mondo Cool","Great","7"
"PC","Unity Of Command 2 Review - Lifetime Supply","Super","8"
"PC, NS, IOS","Overland Review - Road Trip From Hell","Super","8"
"PS4, PC, XONE","Ace Combat 7: Skies Unknown Review - Head In The Clouds","Super","8"
"PS4, XONE, PC","The Outer Worlds Review - Over The Moon","Excellent","9"
"PC, PS4, XONE","Draugen Review - Mystery Loves Company","Great","7"
"PS4","Wattam Review - Forever Wondering","Great","7"
"PC","Supermash Review - Flop Jam","Bad","3"
"NS","The Touryst Review - Life's A Beach","Super","8"
"PC","Phoenix Point Review - The Life Aquatic","Super","8"
"PC","Darksiders: Genesis Review - Lucy And The Horsemen","Great","7"
"PC","Shovel Knight: King Of Cards Review - Royal Refinement","Super","8"
"PS4, PC, XONE","Life Is Strange 2: Episode 5 Review - Beyond Good Or Evil","Super","8"
"PS4","Audica Review - Electronic Gun Music","Very Good","6"
"PS4","Shenmue 3 Review - From A Forgotten Time","Good","5"
"PC","Blacksad: Under The Skin Review - Dog Days","Good","5"
"PC","Planet Zoo Review - Spreadsheet Safari","Great","7"
"NS","Sparklite Review - Shine A Light","Very Good","6"
"PS4, PS4","Star Wars Jedi: Fallen Order Review - A Good Feeling About This","Super","8"
"NS","Pokemon Sword & Shield Review - Curry Favor","Excellent","9"
"NS","Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England","Great","7"
"PS4","Need For Speed Heat Review - Getting Warmer","Great","7"
"NS","Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast","Great","7"
"PC, PS4","Call Of Duty: Modern Warfare Review - Stay Frosty (Again)","Great","7"
"PS4, XONE","Red Dead Redemption 2 Review - Wild Wild West","Excellent","9"
"AND, IOS","Call Of Duty Mobile Review - Boots On The Go","Super","8"
"PC","Disco Elysium Review - Pure Dynamite","Worst","1"
"PC","Afterparty Review - Drink, Die, Repeat","Great","7"
"NS","Luigi's Mansion 3 Review - Mario Is Missing","Super","8"
"PS4","WWE 2K20 Review: Botchamania","Very Bad","2"
"PS4","Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic","Good","5"
"PC, IOS","Manifold Garden Review - Stairways To Puzzle Heaven","Excellent","9"
"PS4","MediEvil Review - Bones 'n Brawn","Good","5"
"NS","Felix The Reaper Review - Footloose","Good","5"
"NS","Little Town Hero Review - Brat Country","Good","5"
"NS","The Witcher 3 Nintendo Switch Review - The Last Wish","Excellent","9"
"NS","Killer Queen Black Review - 'Cause I'm Having a Good Time","Super","8"
"PC, XONE, PS4","Ghost Recon Breakpoint Review - Faulty Reconaissance","Fair","4"
"PC","John Wick Hex Review - Tick Tock Wick","Super","8"
"PS4","Concrete Genie Review - Rubs Me The Right Way","Great","7"
"PC","Indivisible Review - Moving Mountains","Great","7"
"PC, NS, IOS","Neo Cab Review - Taxi Cab Confessions","Great","7"
"PC, PS4, PS4","Destiny 2 Shadowkeep Review - Moon's Haunted","Super","8"
"NS","Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia","Very Good","6"
"NS","Sayonara Wild Hearts Review - Falling Star","Very Good","6"
"PC, PS4","Code Vein Review - There Will Be Blood","Very Good","6"
"PC, NS","Untitled Goose Game Review - Saved By The Bell","Super","8"
"PC","The Surge 2 Review - Out On A Limb","Super","8"
"IOS, PC, NS","80 Days Review - A Man And His Fogg","Super","8"
"PS4","FIFA 20 Review - Premier League","Super","8"
"NS, PS4","Dragon Quest XI Review - Nintendo Switch Definitive Edition Update","Excellent","9"
"PC","Blasphemous Review - Darker Souls","Great","7"
"PC","Greedfall Review - Lost In Another World","Good","5"
"XONE","NHL 20 Review - Smashed","Excellent","9"
"NS","The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake","Super","8"
"PS4","No Man's Sky Beyond Review - Reach For The Stars","Excellent","9"
"PC","Children of Morta Review","Super","8"
"PS4","AI: The Somnium Files Review - Eyes Love You","Super","8"
"PC","Borderlands 3 Review - Six Sirens, One God-Queen","Super","8"
"PS4","eFootball PES 2020 Review - A Winning Formula","Excellent","9"
"NS","Daemon X Machina Review - Tinker Toys","Great","7"
"XONE, PC","Gears 5 Review - A Beneficial Mutation","Great","7"
"PC, PS4, NS","Divinity: Original Sin 2 Review - Switch Definitive Edition Update","Worst","1"
"PC","Creature In The Well Review - Well-Placed Shot","Super","8"
"PS4","Monster Hunter World: Iceborne Review - A Very Ice Time","Excellent","9"
"PS4, PC","Knights And Bikes Review - Double Trouble","Super","8"
"PS4","Erica Review - Movie Night","Super","8"
"PS4, XONE, PC","Apex Legends Review -- A New Battle Royale Titan","Excellent","9"
"PS4","The Dark Pictures: Man of Medan Review - Drown And Out","Very Good","6"
"PC","Blair Witch (Game) Review - Prying Eyes","Good","5"
"PS4","Catherine: Full Body Review - One Step Closer To The Edge","Super","8"
"NS","Astral Chain Review - Anime Police Academy","Super","8"
"PC","Telling Lies Review - Watch Carefully","Great","7"
"PC","Ancestors: The Humankind Odyssey Review - Devolution Of The Species","Fair","4"
"XONE, PS4","Control Review - An Action-Packed Paranormal Portal","Super","8"
"XONE, PC, PS4","Life Is Strange 2: Episode 4 Review - Gotta Have Faith","Great","7"
"PC","Remnant: From the Ashes Review - In My Sights","Great","7"
"PC","Wolfenstein: Youngblood Review - Family Matters","Super","8"
"PS4","Kill La Kill The Game: IF Review - Don't Lose Your Way","Great","7"
"PC, NS","Etherborn Review","Very Good","6"
"PC","Warframe Review (2019) - Space Oddity","Super","8"
"NS","Marvel Ultimate Alliance 3: The Black Order Review - Superpowered","Super","8"
"PC","Night Call Review - The Full Fare","Super","8"
"PC, PS4","Final Fantasy XIV: Shadowbringers Review - Dancer In The Dark","Excellent","9"
"NS","Dragon Quest Builders 2 Review - Building On A Strong Foundation","Super","8"
"PS4","SolSeraph Review - Play God","Very Good","6"
"PC","198X Review","Good","5"
"PC","Weedcraft Inc Review - I Got 5 On It","Good","5"
"PC","They Are Billions Review - Everyone's Invited","Super","8"
"PS4","Sea Of Solitude Review - Adrift","Great","7"
"NS","Super Mario Maker 2 Review - Make My Day","Super","8"
"NS","Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively","Very Good","6"
"PC, PS4","Bloodstained: Ritual Of The Night Review - Not Dead Yet","Super","8"
"PS4","Samurai Shodown Review - Life Or Death","Super","8"
"PC","F1 2019 Review - Pole Position","Excellent","9"
"PS4","Judgment Review - Like A Tiger","Great","7"
"PS4","The Sinking City Review - Draining","Bad","3"
"PC","Imperator: Rome Review","Good","5"
"PC","Mordhau Review - Medieval Times","Super","8"
"NS","Cadence Of Hyrule Review - Groove is in the Heart","Super","8"
"PC, NS","My Friend Pedro Review - Vote For Pedro","Great","7"
"PS4","Crash Team Racing Nitro-Fueled Review - Back With A Bang","Super","8"
"PC","Outer Wilds Review - Extraterrestrial Investigation","Excellent","9"
"NS, PC","Octopath Traveler Review: Divide And Conquer","Super","8"
"3DS","Persona Q2 Review - You Oughta Be In Pictures","Great","7"
"PC, PS4","Observation Review - Space Madness","Super","8"
"PS4, PC","Dauntless Review - Whole New World","Great","7"
"PC","Void Bastards Review - Genres Collide","Super","8"
"PS4","Trover Saves The Universe Review - Couch Potatoes","Great","7"
"PS4","Blood and Truth Review - On The Move","Great","7"
"PC, XONE","Pathologic 2 Review - The Big Sick","Good","5"
"PC","Anno 1800 Review - The Prettiest Spreadsheet","Great","7"
"PC, XONE, PS4, NS","Mortal Kombat 11 Review - The Right Fight","Excellent","9"
"PC","Total War: Three Kingdoms Review - The New Romantics","Super","8"
"NS","Travis Strikes Again: No More Heroes Review - Short On Heroics","Very Good","6"
"PS4, XONE, PC","A Plague Tale: Innocence Review - Of Rats And Children","Super","8"
"XONE","Layers of Fear 2 Review - Ghost Ship","Good","5"
"PS4","Everybody's Golf VR Review - A Short Date To The Golf Course","Very Good","6"
"XONE, PS4","Team Sonic Racing Review - Gotta Go-Kart Fast","Great","7"
"PC, PS4","Metro Exodus Review - Brand New Days","Super","8"
"PC","Whispers of a Machine Review - Hushed Greatness","Great","7"
"PS4","Darkwood Review - Welcome To The Forest, Meat","Excellent","9"
"PC","Rage 2 Review - Wasted Land","Very Good","6"
"PS4, PC, XONE","Life Is Strange 2: Episode 3 Review - Choosing Sides","Super","8"
"PC","World War Z Review - Zombie Zeitgeist","Very Good","6"
"XONE","Giga Wrecker Alt Review - Hunk Of Junk","Fair","4"
"PS4","Yakuza Kiwami 2 Review - Like A Tiger","Super","8"
"PS4","Days Gone Review - Farewell, Oregon","Good","5"
"NS","BoxBoy! + BoxGirl! Review - Hip To Be Square","Great","7"
"NS","SteamWorld Quest Review - Letting Off Some Steam","Great","7"
"PC","Katana Zero Review - Slow-Motion For Me","Super","8"
"XONE, PC, NS","Cuphead Review - Rise To The Challenge","Super","8"
"PS4","Falcon Age Review - High Flying","Super","8"
"PC","Pathway Review - Pulp Friction","Very Good","6"
"PC, PS4","Heaven's Vault Review - Come Sail Away","Very Good","6"
"PS4, XONE, NS, PC","My Time At Portia Review - Crop Circles","Very Good","6"
"PS4, PC, XONE, NS","Hellblade: Senua's Sacrifice Review - The Power Of Empathy","Super","8"
"PS4","Zanki Zero: Last Beginning Review - Attack Of The Clones","Very Good","6"
"PS4","MLB The Show 19 Review - Bases Loaded","Excellent","9"
"PC","Tropico 6 Review - World Stage","Super","8"
"PC, XONE, PS4","The Division 2 Review - National Treasure","Excellent","9"
"PC","The World Next Door Review - Anime Angst","Very Good","6"
"PC","Operencia: The Stolen Sun Review - A Journey Far, Far Away","Super","8"
"PS4","Sekiro: Shadows Die Twice Review - Steel Yourself","Excellent","9"
"PC","The Walking Dead: The Final Season Episode 4 Review","Excellent","9"
"NS","Yoshi's Crafted World Review - Imagination","Super","8"
"PC","Hypnospace Outlaw Review - Weird World Web","Super","8"
"PC, NS","Baba is You Review - Game-Changer","Great","7"
"PC","Ethereal Review - Stay In Your Lane","Great","7"
"PS4","Left Alive Review - No Will To Survive","Bad","3"
"PC","Objects In Space Review - Adrift","Super","8"
"XONE","Devil May Cry 5 Review - From Zero To Nero","Excellent","9"
"PS4","ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers","Good","5"
"NS","Assault Android Cactus+ Review - Robots Rock","Excellent","9"
"PC, NS","Ape Out Review - Guerrilla Gorilla","Great","7"
"3DS","Kirby's Extra Epic Yarn Review - All Stitched Up","Excellent","9"
"PS4","Dead Or Alive 6 Review - Combat Ready","Great","7"
"PC, XONE, PS4","The Occupation Review - On The Clock","Super","8"
"XONE, PC, PS4","Far Cry: New Dawn Review - Duct Tape Apocalypse","Very Good","6"
"PC","Civilization 6: Gathering Storm Review - Weather The Storm","Excellent","9"
"PC","Eastshade Review - A Brush With Nature","Excellent","9"
"PS4","Trials Rising Review - It's A Gas","Great","7"
"PC","Devotion Review - House Of Horrors","Excellent","9"
"PC, XONE, PS4","Anthem Review - Two Halves","Very Good","6"
"NS","Tetris 99 Review - Embrace The Chaos","Super","8"
"XONE","Crackdown 3 Review - Man Of Steel","Good","5"
"PC, XONE, PS4","Jump Force Review - Shonen Through And Through","Great","7"
"3DS","Yo-kai Watch 3 Review - Tokyo To Texas","Very Good","6"
"PS4, PC","Yakuza Kiwami Review - Back In Action","Super","8"
"PS4, PC","God Eater 3 Review - Aragami Hunter","Very Good","6"
"PC","Astroneer Review - New Frontiers","Very Good","6"
"NS","Dragon Marked for Death Review - Dates With Death","Great","7"
"PC","Sunless Skies Review - British Steam Power","Super","8"
"NS","Wargroove Review - The Doggos Of War","Super","8"
"3DS","Etrian Odyssey Nexus Review - Where All Paths Cross","Super","8"
"PC","Jon Shafer's At The Gates Review - Fertile Soil","Great","7"
"PS4, PC","The Hong Kong Massacre Review - I Know Gun-Fu","Great","7"
"PC, PS4, NS","Downwell Review - Polished Boots","Super","8"
"PC","Mage's Initiation: Reign Of The Elements Review - VGA Heyday","Very Good","6"
"XONE, PS4","Kingdom Hearts 3 Review - Clear Eyes, Full Hearts","Super","8"
"PC, NS","Pikuniku Review - Delicious Morsel","Super","8"
"XONE","Genesis Alpha One Review - Drifting Without Direction","Fair","4"
"XONE, PC, PS4","Resident Evil 2 Review - RE-vived Nightmares","Excellent","9"
"PS4, XONE, PC","Life Is Strange 2: Episode 2 Review - With Great Power","Super","8"
"3DS","Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review","Super","8"
"PS4","The Walking Dead: The Final Season Episode 3 Review","Super","8"
"PS4","YIIK: A Postmodern RPG Review - A Bit More Hipster","Good","5"
"NS","Double Cross Review - Combat Woes","Very Good","6"
"PS4","Vane Review - In Vain","Good","5"
"PC","The Eternal Castle Remastered Review - Vivid Flashbacks","Super","8"
"NS","New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!","Great","7"
"XONE, PC","Below Review - Deep Down","Very Good","6"
"NS","Bury Me, My Love Review - Trials And Tribulations","Super","8"
"NS","Battle Princess Madelyn Review - Halfway There","Very Good","6"
"NS","Super Smash Bros. Ultimate Review - Me And You And Everyone We Know","Excellent","9"
"PC","Gris Review - Seeing In Color","Excellent","9"
"PC, XONE, PS4, NS","Monster Boy And The Cursed Kingdom Review - Fit For A King","Super","8"
"PC, PS4","Thronebreaker: The Witcher Tales Review - Queen Of Hearts","Excellent","9"
"PC, PS4, XONE, NS","Desert Child Review - Burning Fuel","Good","5"
"PS4","Earth Defense Force 5 Review - Another Bug Hunt","Super","8"
"XONE, PC","Ashen Review - Relationship Souls","Excellent","9"
"PC","Artifact Review - Play Your Cards Right","Super","8"
"PC","Just Cause 4 Review - Mildly Wild Ride","Very Good","6"
"PS4","Big Bash Boom Review: Stiff Wickets","Good","5"
"PC","Cosmic Top Secret Review - Declassified","Great","7"
"PS4","Darksiders 3 Review - Soils-Like","Fair","4"
"PS4","Persona 5: Dancing In Starlight Review - The Shujin Shuffle","Super","8"
"PS4","Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour","Excellent","9"
"PS4","Beat Saber Review - Bass-Boosted","Super","8"
"PC, PS4, NS","Nidhogg 2 Review - En Garde","Great","7"
"PS4, PC, XONE","Hitman 2 Review - A Boy And His Briefcase","Super","8"
"PC, PS4, XONE","Fallout 76 Review - No Humans Allowed","Fair","4"
"PC","Underworld Ascendant Review: Going Under","Very Bad","2"
"NS","Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party","Great","7"
"PC","Battlefield 5 Review - Breaking Through The Front Lines","Super","8"
"NS, NS","Pokemon Let's Go Pikachu And Let's Go Eevee Review","Super","8"
"PC","Overkill's The Walking Dead Review - DOA","Bad","3"
"PS4","Spyro Reignited Trilogy Review - Fan The Flames","Super","8"
"PS4, XONE, PC","11-11: Memories Retold Review - Modernist Warfare","Great","7"
"XONE, NS","Full Metal Furies Review - Puzzle-Brawler","Super","8"
"PC, PS4, XONE, NS","Sinner: Sacrifice for Redemption Review - Trials and Tribulations","Very Good","6"
"PS4","The Quiet Man Review - Silence Is Not Golden","Very Bad","2"
"PC","Cities: Skylines - Industries Review - The Up And Up","Great","7"
"NS","SNK 40th Anniversary Collection Review - It Belongs In A Museum","Super","8"
"PS4","Deracine Review - Elementary","Good","5"
"PC","Football Manager 2019 Review - A Winning Strategy","Super","8"
"PC, PS4, XONE","Call Of Cthulhu Review - Squid Logic","Good","5"
"NS","Diablo 3: Eternal Collection Switch Review - Better With Age","Excellent","9"
"PC","Gwent Review - Heart Of The Cards","Super","8"
"NS","Black Bird Review - Featherweight","Good","5"
"PC, PS4, NS","Transistor Review","Super","8"
"PS4, XONE","My Hero One's Justice Review - In Their Own Quirky Ways","Very Good","6"
"PS4","WWE 2K19 Review: A Step In The Right Direction","Great","7"
"PC, MAC","Return Of The Obra Dinn Review: The Good Ship","Excellent","9"
"XONE","NBA 2K Playgrounds 2 Review - Ball Another Day","Good","5"
"PS4","Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer","Super","8"
"AND, IOS","Reigns: Game Of Thrones Review: A Westerosi Romp","Super","8"
"PC, XONE, PS4","SoulCalibur 6 Review - The New Legend","Super","8"
"PS4","Lego DC Super-Villains Review: Mediocre Mischief-Makers","Good","5"
"NS, NS","Dark Souls Remastered Switch Review: A Very Special Revisit","Super","8"
"NS, XONE, PS4","Starlink: Battle for Atlas Review - Endless Space","Great","7"
"PC, NS","Armello Review - Nintendo Switch Update","Super","8"
"3DS","Luigi's Mansion Review - Old Haunts","Great","7"
"PS4, XONE, PC, NS","The Missing Review - Lost And Found","Super","8"
"XONE, PS3, NS","Child of Light Review","Super","8"
"PC, PS4, NS","Chasm Review: The Battle Below","Super","8"
"NS","Super Mario Party Review - Test Those Friendships","Great","7"
"PC","World of Warcraft: Battle For Azeroth - Come One, Come All","Great","7"
"PC, PS4, XONE","My Memory of Us Review - War Has Changed","Good","5"
"NS","FIFA 19 Nintendo Switch Review - Offside","Good","5"
"PC","Pathfinder: Kingmaker Review - The Classics","Very Good","6"
"PS4, XONE, PC","Assassin's Creed Odyssey Review - Glory Of Sparta","Super","8"
"XONE, PS4","FIFA 19 Review - Golazo","Great","7"
"PC, XONE","Forza Horizon 4 Review - Shifting Gears, Shifting Seasons","Excellent","9"
"PS4, PC, XONE","Destiny 2: Forsaken Review - A Grindhouse","Super","8"
"PC, NS","Cities: Skylines Review - In The Zone","Super","8"
"NS, XONE, PS4","Mega Man 11 Review - An Uneven Retro Romp","Great","7"
"NS","Freedom Planet Review -- Speedy Ambitions","Great","7"
"PS4","Fist Of The North Star: Lost Paradise Review - Be The Tough Boy","Super","8"
"PC","The Bard's Tale IV: Barrows Deep Review - Lament","Fair","4"
"NS","Final Fantasy XV: Pocket Edition HD Review - Nintendo Switch","Great","7"
